ID,Transaction
1,"Divergent,Of Mice and Men,The Giver"
2,"Diary of a Wimpy Kid,Of Mice and Men,The Giver"
3,"Diary of a Wimpy Kid,Of Mice and Men,The Giver,To Kill a Mockingbird,Warriors"
4,"Divergent,Percy Jackson and the Olympians,The Giver,To Kill a Mockingbird,Warriors"
5,"Divergent,Harry Potter,Of Mice and Men,Percy Jackson and the Olympians,The Book of Bill"
6,"Divergent,Harry Potter,The Giver"
7,"Divergent,Of Mice and Men,Percy Jackson and the Olympians,The Book of Bill,The Giver"
8,"Percy Jackson and the Olympians,The Book of Bill,The Hunger Games,To Kill a Mockingbird"
9,"Diary of a Wimpy Kid,Percy Jackson and the Olympians,The Giver,To Kill a Mockingbird,Warriors"
10,"Harry Potter,The Book of Bill,The Giver,The Hunger Games,Warriors"
11,"Divergent,Percy Jackson and the Olympians,The Hunger Games,Warriors"
12,"Diary of a Wimpy Kid,Harry Potter,Percy Jackson and the Olympians,The Book of Bill,To Kill a Mockingbird"
13,"Divergent,Percy Jackson and the Olympians,The Hunger Games,To Kill a Mockingbird"
14,"Diary of a Wimpy Kid,Of Mice and Men,Percy Jackson and the Olympians,The Hunger Games,Warriors"
15,"The Book of Bill,The Giver,The Hunger Games,Warriors"
16,"Diary of a Wimpy Kid,Harry Potter,Of Mice and Men,The Book of Bill,To Kill a Mockingbird"
17,"Divergent,Percy Jackson and the Olympians,The Book of Bill,The Giver"
18,"Divergent,The Book of Bill,The Hunger Games,To Kill a Mockingbird"
19,"Diary of a Wimpy Kid,The Hunger Games,Warriors"
20,"Diary of a Wimpy Kid,The Giver,Warriors"
