ID,Transaction
1,"Hellmann's Mayonnaise,Mexican Blend Shredded Cheese,Perdue Chicken Nuggets,Whole Milk"
2,"Boursin Cheese,Caramel Tres Leches Cake,Dave's Killer Bread"
3,"Boursin Cheese,Caramel Tres Leches Cake,Hellmann's Mayonnaise,Mexican Blend Shredded Cheese,Whole Milk"
4,"Caramel Tres Leches Cake,Dave's Killer Bread,Grade A Large Eggs"
5,"Farm Raised Atlantic Salmon,Hellmann's Mayonnaise,Perdue Chicken Nuggets"
6,"Caramel Tres Leches Cake,Grade A Large Eggs,Mexican Blend Shredded Cheese,Season Sardines,Whole Milk"
7,"Boursin Cheese,Hellmann's Mayonnaise,Season Sardines"
8,"Farm Raised Atlantic Salmon,Grade A Large Eggs,Perdue Chicken Nuggets"
9,"Dave's Killer Bread,Grade A Large Eggs,Season Sardines,Whole Milk"
10,"Boursin Cheese,Farm Raised Atlantic Salmon,Hellmann's Mayonnaise,Mexican Blend Shredded Cheese,Season Sardines"
11,"Grade A Large Eggs,Hellmann's Mayonnaise,Season Sardines"
12,"Boursin Cheese,Dave's Killer Bread,Mexican Blend Shredded Cheese,Perdue Chicken Nuggets"
13,"Boursin Cheese,Caramel Tres Leches Cake,Dave's Killer Bread,Mexican Blend Shredded Cheese"
14,"Dave's Killer Bread,Grade A Large Eggs,Hellmann's Mayonnaise,Perdue Chicken Nuggets,Season Sardines"
15,"Boursin Cheese,Caramel Tres Leches Cake,Whole Milk"
16,"Boursin Cheese,Dave's Killer Bread,Grade A Large Eggs,Hellmann's Mayonnaise"
17,"Boursin Cheese,Farm Raised Atlantic Salmon,Hellmann's Mayonnaise,Season Sardines,Whole Milk"
18,"Boursin Cheese,Farm Raised Atlantic Salmon,Hellmann's Mayonnaise,Mexican Blend Shredded Cheese"
19,"Boursin Cheese,Dave's Killer Bread,Mexican Blend Shredded Cheese,Perdue Chicken Nuggets"
20,"Boursin Cheese,Caramel Tres Leches Cake,Dave's Killer Bread,Hellmann's Mayonnaise,Whole Milk"
