ID,Transaction
1,"45 lb Plate,Cable Machine,Pec Deck Machine"
2,"Adjustable Bench,Barbell,Pendulum Squat,Seated Hamstring Curl,T-Bar Row"
3,"Cable Machine,Seated Hamstring Curl,Smith Machine"
4,"45 lb Plate,75 lb Dumbbells,Adjustable Bench,Barbell,Seated Hamstring Curl"
5,"Adjustable Bench,Barbell,Pec Deck Machine,T-Bar Row"
6,"45 lb Plate,75 lb Dumbbells,Adjustable Bench,Smith Machine,T-Bar Row"
7,"45 lb Plate,Adjustable Bench,Pec Deck Machine,Seated Hamstring Curl,Smith Machine"
8,"Pec Deck Machine,Pendulum Squat,Seated Hamstring Curl"
9,"45 lb Plate,75 lb Dumbbells,Seated Hamstring Curl"
10,"75 lb Dumbbells,Adjustable Bench,Seated Hamstring Curl,T-Bar Row"
11,"45 lb Plate,Pendulum Squat,T-Bar Row"
12,"45 lb Plate,Adjustable Bench,Pendulum Squat"
13,"45 lb Plate,Cable Machine,T-Bar Row"
14,"75 lb Dumbbells,Barbell,Seated Hamstring Curl"
15,"Adjustable Bench,Pendulum Squat,Seated Hamstring Curl,T-Bar Row"
16,"45 lb Plate,Barbell,Pendulum Squat,Seated Hamstring Curl"
17,"Adjustable Bench,Barbell,Pec Deck Machine,Pendulum Squat"
18,"45 lb Plate,Barbell,Seated Hamstring Curl,T-Bar Row"
19,"45 lb Plate,Adjustable Bench,Barbell,Pendulum Squat"
20,"Adjustable Bench,Barbell,Cable Machine,Smith Machine"
