ID,Transaction
1,"64GB Samsung Evo Micro SD Card,Mini Speaker,USB-C 5V 3A Power Supply"
2,"7 Inch Touchscreen LCD Display,Heatsink,Mini Speaker,Wireless SNES Style Gamepad"
3,"64GB Samsung Evo Micro SD Card,7 Inch Touchscreen LCD Display,Mini Speaker"
4,"7 Inch Touchscreen LCD Display,Heatsink,Mini Speaker,Wireless SNES Style Gamepad"
5,"7 Inch Touchscreen LCD Display,Heavy-Duty Aluminum Alloy Case,Raspberry Pi 4 Model B,Standard to Micro HDMI,USB-C 5V 3A Power Supply"
6,"Heavy-Duty Aluminum Alloy Case,Mini Speaker,Raspberry Pi 4 Model B,Rosin Soldering Flux Paste,Standard to Micro HDMI"
7,"7 Inch Touchscreen LCD Display,Raspberry Pi 4 Model B,Rosin Soldering Flux Paste,Standard to Micro HDMI,USB-C 5V 3A Power Supply"
8,"7 Inch Touchscreen LCD Display,Heatsink,Heavy-Duty Aluminum Alloy Case,Wireless SNES Style Gamepad"
9,"64GB Samsung Evo Micro SD Card,Heatsink,Raspberry Pi 4 Model B,Standard to Micro HDMI"
10,"Raspberry Pi 4 Model B,Standard to Micro HDMI,USB-C 5V 3A Power Supply"
11,"Heavy-Duty Aluminum Alloy Case,Mini Speaker,Rosin Soldering Flux Paste,Standard to Micro HDMI"
12,"7 Inch Touchscreen LCD Display,Heavy-Duty Aluminum Alloy Case,Rosin Soldering Flux Paste,Standard to Micro HDMI,Wireless SNES Style Gamepad"
13,"64GB Samsung Evo Micro SD Card,Heatsink,Standard to Micro HDMI,Wireless SNES Style Gamepad"
14,"64GB Samsung Evo Micro SD Card,USB-C 5V 3A Power Supply,Wireless SNES Style Gamepad"
15,"Heatsink,Raspberry Pi 4 Model B,Rosin Soldering Flux Paste,Standard to Micro HDMI,USB-C 5V 3A Power Supply"
16,"64GB Samsung Evo Micro SD Card,Heatsink,Rosin Soldering Flux Paste,USB-C 5V 3A Power Supply"
17,"64GB Samsung Evo Micro SD Card,Heatsink,Rosin Soldering Flux Paste,Wireless SNES Style Gamepad"
18,"7 Inch Touchscreen LCD Display,Standard to Micro HDMI,USB-C 5V 3A Power Supply"
19,"64GB Samsung Evo Micro SD Card,Mini Speaker,Raspberry Pi 4 Model B,USB-C 5V 3A Power Supply"
20,"7 Inch Touchscreen LCD Display,Raspberry Pi 4 Model B,Standard to Micro HDMI,USB-C 5V 3A Power Supply"
